"cible","rule_id","titre","severite","sources","med_keys","med_keys_2","comorbs","contexte","fragilite","quarantaine_actuelle","RECOMMANDATION","DECISION (GARDER/FUSIONNER/QUARANTAINE)","fusionner_avec / note"
"acenocoumarol","SUP_PIMC_05","AVK sans surveillance INR régulière documentée","warning","PIM_CHECK","acenocoumarol;warfarine;fluindione","","","","","non","OK (a priori)","",""
"ains  iecara2  diuretique","SUP_STOP_078","Medicaments nefrotoxiques en association chez le sujet age","danger","BEERS+PRISCUS+REMEDIES+PIM_CHECK","ains  iecara2  diuretique","","","","","OUI","QUARANTAINE (fait)","",""
"ains topiques diclofenac gel","SUP_CAUT_073","AINS topiques FORTA B","info","BEERS+FORTA+REMEDIES+PIM_CHECK","ains topiques diclofenac gel;ketoprofene gel;ibuprofene topique","","","","","OUI","QUARANTAINE (fait)","",""
"alendronate","SUP_DEP_063","Bisphosphonates (STOPP/FRAIL)","info","STOPPFRAIL+REMEDIES+PIM_CHECK","alendronate;risedronate;acide zoledronique","","","","severe","non","CLE_COMPOSEE (verifier ciblage)","",""
"alendronate","SUP_STOP_036","Bisphosphonates oraux","warning","STOPP3+BEERS+PRISCUS+REMEDIES+PIM_CHECK","alendronate;risedronate;ibandronate","","","","","non","OK (a priori)","",""
"alendronaterisedronate  cholecalciferol  calcium","SUP_START_039","Bisphosphonate + Vitamine D + Calcium","warning","STOPP3+BEERS+FORTA+REMEDIES+PIM_CHECK","alendronaterisedronate  cholecalciferol  calcium","","","","","non","CLE_COMPOSEE (verifier ciblage)","",""
"aluminium","SUP_EU7_06","Antacides contenant aluminium","warning","EU7PIM","aluminium;phosphalugel","","","","","non","OK (a priori)","",""
"amiodarone","SUP_CAUT_071","Amiodarone FORTA C (FA refractaire)","info","FORTA+PRISCUS+REMEDIES+PIM_CHECK","amiodarone","","","","","non","OK (a priori)","",""
"amiodarone","SUP_STOP_006","Amiodarone","warning","BEERS+FORTA+PRISCUS+REMEDIES+PIM_CHECK","amiodarone","","","","","non","OK (a priori)","",""
"amitriptyline","SUP_STOP_068","Amitriptyline a fortes doses (>75 mg/j)","warning","BEERS+FORTA+PRISCUS+STOPPFRAIL+REMEDIES+PIM_CHECK","amitriptyline","","","","","non","OK (a priori)","",""
